sample_id	dataset_id	library_size	biofluid	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag	qc_status	isolation_method
sample_Sample_B_022_BC01_Yr2_AGTCAA_R1_001_fastq	EXR-KJENS1RID1-AN	5413563.999999999	Plasma	12994754.0	5413564.0	False		
sample_Sample_B_022_GC17_GATCAG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	21870.999999999996	Plasma	834485.0	21871.0	True		
sample_Sample_B_023_PC02_CATTTT_R1_001_fastq	EXR-KJENS1RID1-AN	1296843.0	Plasma	3591892.0	1296843.0	False		
sample_Sample_B_024_BC01_Yr2_CGATGT_R1_001_fastq	EXR-KJENS1RID1-AN	909954.0000000001	Plasma	4356840.0	909954.0	False		
sample_Sample_B_024_GC01_Yr2_TCGAAG_R1_001_fastq	EXR-KJENS1RID1-AN	2420924.9999999995	Plasma	8557947.0	2420925.0	False		
sample_Sample_B_024_GC02_Yr2_GTAGAG_R1_001_fastq	EXR-KJENS1RID1-AN	2669657.9999999995	Plasma	12034730.0	2669658.0	False		
sample_Sample_B_024_GC04_Yr2_GTGAAA_R1_001_fastq	EXR-KJENS1RID1-AN	2166351.0	Plasma	7363791.0	2166351.0	False		
sample_Sample_B_024_GC05_Yr2_TCGAAG_R1_001_fastq	EXR-KJENS1RID1-AN	13996865.0	Plasma	27716439.0	13996865.0	False		
sample_Sample_B_024_GC06_Yr2_CACTCA_R1_001_fastq	EXR-KJENS1RID1-AN	4917007.999999999	Plasma	14300099.0	4917008.0	False		
sample_Sample_B_024_GC07_Yr2_CTATAC_R1_001_fastq	EXR-KJENS1RID1-AN	1478957.0	Plasma	3872465.0	1478957.0	False		
sample_Sample_B_024_GC08_Yr2_CACGAT_R1_001_fastq	EXR-KJENS1RID1-AN	2582152.9999999995	Plasma	9601757.0	2582153.0	False		
sample_Sample_B_024_GC09_Yr2_CTATAC_R1_001_fastq	EXR-KJENS1RID1-AN	5317372.000000001	Plasma	11348834.0	5317372.0	False		
sample_Sample_B_024_GC10_Yr2_CGTACG_R1_001_fastq	EXR-KJENS1RID1-AN	591195.0	Plasma	2779522.0	591195.0	False		
sample_Sample_B_024_GC11_Yr2_AGTTCC_R1_001_fastq	EXR-KJENS1RID1-AN	820526.0	Plasma	2586312.0	820526.0	False		
sample_Sample_B_024_GC12_Yr2_AGTCAA_R1_001_fastq	EXR-KJENS1RID1-AN	1145607.0000000002	Plasma	7770934.0	1145607.0	False		
sample_Sample_B_024_PC02_CCGTCC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	20664.0	Plasma	369273.0	20664.0	True		
sample_Sample_B_025_BC01_Yr2_GTCCGC_R1_001_fastq	EXR-KJENS1RID1-AN	2349168.0	Plasma	7913751.0	2349168.0	False		
sample_Sample_B_025_GC03_Yr2_ATCACG_R1_001_fastq	EXR-KJENS1RID1-AN	3147320.0	Plasma	6254934.0	3147320.0	False		
sample_Sample_B_029_BC01_Yr2_CAAAAG_R1_001_fastq	EXR-KJENS1RID1-AN	1850513.0000000002	Plasma	8224945.0	1850513.0	False		
sample_Sample_B_029_GC03_Yr2_TACAGC_R1_001_fastq	EXR-KJENS1RID1-AN	2954870.0	Plasma	12407774.0	2954870.0	False		
sample_Sample_B_030_BC01_Yr2_GTAGAG_R1_001_fastq	EXR-KJENS1RID1-AN	1027438.0	Plasma	5748192.0	1027438.0	False		
sample_Sample_B_030_GC02_Yr2_CAACTA_R1_001_fastq	EXR-KJENS1RID1-AN	1559903.9999999998	Plasma	8195797.0	1559904.0	False		
sample_Sample_B_030_GC03_Yr2_ACTGAT_R1_001_fastq	EXR-KJENS1RID1-AN	2149666.0000000005	Plasma	8932024.0	2149666.0	False		
sample_Sample_B_030_GC07_Yr2_TAATCG_R1_001_fastq	EXR-KJENS1RID1-AN	1394684.0	Plasma	7041919.0	1394684.0	False		
sample_Sample_B_031_BC01_TTAGGC_R1_001_fastq	EXR-KJENS1RID1-AN	845316.0	Plasma	7653269.0	845316.0	False		
sample_Sample_B_031_BC01_Yr2_ATCACG_R1_001_fastq	EXR-KJENS1RID1-AN	530375.0	Plasma	4050348.0	530375.0	False		
sample_Sample_B_031_GC01_Yr2_TAATCG_R1_001_fastq	EXR-KJENS1RID1-AN	2272480.0	Plasma	7913591.0	2272480.0	False		
sample_Sample_B_031_GC15_GTTTCG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	209848.0000000001	Plasma	13367214.0	209848.0	False		
sample_Sample_B_031_GC16_GCCAAT_R1_001_fastq	EXR-KJENS1RID1-AN	1471926.0	Plasma	9234187.0	1471926.0	False		
sample_Sample_B_036_BC01_Yr2_ACAGTG_R1_001_fastq	EXR-KJENS1RID1-AN	3855203.0	Plasma	13758060.0	3855203.0	False		
sample_Sample_B_036_GC05_Yr2_CACTCA_R1_001_fastq	EXR-KJENS1RID1-AN	5600207.0	Plasma	7665206.0	5600207.0	False		
sample_Sample_B_039_BC01_TGACCA_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	878537.0	Plasma	5598580.0	878537.0	False		
sample_Sample_B_039_BC01_Yr2_ACAGTG_R1_001_fastq	EXR-KJENS1RID1-AN	209271.0	Plasma	2153419.0	209271.0	False		
sample_Sample_B_039_GC06_ATGAGC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	598386.0	Plasma	2060214.0	598386.0	False		
sample_Sample_B_039_GC09_Yr2_GATCAG_R1_001_fastq	EXR-KJENS1RID1-AN	683045.0000000001	Plasma	3942496.0	683045.0	False		
sample_Sample_B_042_BC01_GAGTGG_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	424270.00000000006	Plasma	11045331.0	424270.0	False		
sample_Sample_B_044_BC01_ACAGTG_R1_001_fastq	EXR-KJENS1RID1-AN	1287719.0	Plasma	3879936.0	1287719.0	False		
sample_Sample_B_044_GC16_CTTGTA_R1_001_fastq	EXR-KJENS1RID1-AN	1259616.0	Plasma	3628036.0	1259616.0	False		
sample_Sample_B_045_BC01_ATGTCA_R1_001_fastq	EXR-KJENS1RID1-AN	839603.0	Plasma	6069726.0	839603.0	False		
sample_Sample_B_045_BC01_Yr2_TTAGGC_R1_001_fastq	EXR-KJENS1RID1-AN	552614.0	Plasma	2219251.0	552614.0	False		
sample_Sample_B_045_GC04_Yr2_CAGATC_R1_001_fastq	EXR-KJENS1RID1-AN	780274.0	Plasma	8273770.0	780274.0	False		
sample_Sample_B_045_GC12_Yr2_CGTACG_R1_001_fastq	EXR-KJENS1RID1-AN	1818900.0	Plasma	10784190.0	1818900.0	False		
sample_Sample_B_045_GC14_GTGAAA_R1_001_fastq	EXR-KJENS1RID1-AN	1575076.9999999998	Plasma	7012025.0	1575077.0	False		
sample_Sample_B_046_GC07_CAAAAG_R1_001_fastq	EXR-KJENS1RID1-AN	623279.0	Plasma	786699.0	623279.0	False		
sample_Sample_B_046_GC09_GATCAG_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	8351.0	Plasma	144220.0	8351.0	True		
sample_Sample_B_046_GC10_ACTTGA_R1_001_fastq	EXR-KJENS1RID1-AN	1151830.0	Plasma	7097829.0	1151830.0	False		
sample_Sample_B_046_GC11_CAAAAG_R1_001_fastq	EXR-KJENS1RID1-AN	2354556.0000000005	Plasma	7391409.0	2354556.0	False		
sample_Sample_B_046_GC15_CTTGTA_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	321807.0	Plasma	10406346.0	321807.0	False		
sample_Sample_B_046_GC16_AGTTCC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	426267.00000000006	Plasma	26023503.0	426267.0	False		
sample_Sample_B_046_GC17_AGTCAA_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	670887.0	Plasma	11275394.0	670887.0	False		
sample_Sample_B_048_GC07_AGTCAA_R1_001_fastq	EXR-KJENS1RID1-AN	1733758.0	Plasma	3719664.0	1733758.0	False		
sample_Sample_B_048_GC08_GGTAGC_combined_4_R1_001_fastq	EXR-KJENS1RID1-AN	223786.00000000003	Plasma	5109516.0	223786.0	False		
sample_Sample_B_048_GC14_TATAAT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	637113.0	Plasma	666959.0	637113.0	False		
sample_Sample_B_049_BC01_Yr2_CGTACG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	204900.0	Plasma	5698668.0	204900.0	False		
sample_Sample_B_049_GC02_Yr2_GTTTCG_R1_001_fastq	EXR-KJENS1RID1-AN	3681281.0	Plasma	8582039.0	3681281.0	False		
sample_Sample_B_049_GC05_Yr2_CATGGC_R1_001_fastq	EXR-KJENS1RID1-AN	543259.0	Plasma	1147276.0	543259.0	False		
sample_Sample_B_049_GC07_Yr2_CAGATC_R1_001_fastq	EXR-KJENS1RID1-AN	716336.9999999999	Plasma	7106440.0	716337.0	False		
sample_Sample_B_049_GC09_Yr2_CACTCA_R1_001_fastq	EXR-KJENS1RID1-AN	2834505.0000000005	Plasma	8679546.0	2834505.0	False		
sample_Sample_B_049_GC10_Yr2_ACTTGA_R1_001_fastq	EXR-KJENS1RID1-AN	1119706.0	Plasma	8690529.0	1119706.0	False		
sample_Sample_B_049_GC11_Yr2_ATTCCT_R1_001_fastq	EXR-KJENS1RID1-AN	817685.9999999999	Plasma	4092702.0	817686.0	False		
sample_Sample_B_170_PC02_CTAGCT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	164456.99999999997	Plasma	4537754.0	164457.0	False		
sample_Sample_B_201_BC01_Yr2_TCCCGA_R1_001_fastq	EXR-KJENS1RID1-AN	2428984.0	Plasma	6876985.0	2428984.0	False		
sample_Sample_B_201_GC08_Yr2_CAGGCG_R1_001_fastq	EXR-KJENS1RID1-AN	833924.0	Plasma	9138109.0	833924.0	False		
sample_Sample_B_201_GC10_Yr2_TATAAT_R1_001_fastq	EXR-KJENS1RID1-AN	894654.0	Plasma	4338183.0	894654.0	False		
sample_Sample_B_203_BC01_Yr2_CGATGT_R1_001_fastq	EXR-KJENS1RID1-AN	444592.99999999994	Plasma	2436769.0	444593.0	False		
sample_Sample_B_203_GC01_Yr2_CACGAT_R1_001_fastq	EXR-KJENS1RID1-AN	479969.00000000006	Plasma	4070064.0	479969.0	False		
sample_Sample_B_203_GC02_Yr2_CAACTA_R1_001_fastq	EXR-KJENS1RID1-AN	2792357.0	Plasma	9209852.0	2792357.0	False		
sample_Sample_B_203_GC03_Yr2_ATCACG_R1_001_fastq	EXR-KJENS1RID1-AN	510784.99999999994	Plasma	3717115.0	510785.0	False		
sample_Sample_B_203_GC04_Yr2_CAGATC_R1_001_fastq	EXR-KJENS1RID1-AN	4036029.9999999995	Plasma	22712307.0	4036030.0	False		
sample_Sample_B_203_GC06_Yr2_TATAAT_R1_001_fastq	EXR-KJENS1RID1-AN	2682303.9999999995	Plasma	10708683.0	2682304.0	False		
sample_Sample_B_203_GC07_Yr2_CATTTT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	999164.0000000001	Plasma	4233951.0	999164.0	False		
sample_Sample_B_203_GC08_Yr2_CGATGT_R1_001_fastq	EXR-KJENS1RID1-AN	3142663.0	Plasma	14276792.0	3142663.0	False		
sample_Sample_B_203_GC09_Yr2_CTCAGA_R1_001_fastq	EXR-KJENS1RID1-AN	2412948.0	Plasma	8904316.0	2412948.0	False		
sample_Sample_B_204_BC01_Yr2_ATGAGC_R1_001_fastq	EXR-KJENS1RID1-AN	1296712.0	Plasma	5105505.0	1296712.0	False		
sample_Sample_B_204_GC09_Yr2_GACGAC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	501414.0	Plasma	3394415.0	501414.0	False		
sample_Sample_B_205_BC01_Yr2_TCGGCA_R1_001_fastq	EXR-KJENS1RID1-AN	1563998.0	Plasma	4088274.0	1563998.0	False		
sample_Sample_B_205_GC02_Yr2_GAGTGG_R1_001_fastq	EXR-KJENS1RID1-AN	650112.0	Plasma	3242084.0	650112.0	False		
sample_Sample_B_206_BC01_Yr2_GGCTAC_R1_001_fastq	EXR-KJENS1RID1-AN	1807303.9999999998	Plasma	11216101.0	1807304.0	False		
sample_Sample_B_206_GC06_Yr2_CGTACG_R1_001_fastq	EXR-KJENS1RID1-AN	1024282.0000000001	Plasma	6405076.0	1024282.0	False		
sample_Sample_B_206_GC08_Yr2_TCCCGA_R1_001_fastq	EXR-KJENS1RID1-AN	2395422.0	Plasma	7865358.0	2395422.0	False		
sample_Sample_B_206_GC09_Yr2_ATCACG_R1_001_fastq	EXR-KJENS1RID1-AN	2759715.0	Plasma	10978235.0	2759715.0	False		
sample_Sample_B_206_GC10_Yr2_TCGAAG_R1_001_fastq	EXR-KJENS1RID1-AN	5846966.999999999	Plasma	17931114.0	5846967.0	False		
sample_Sample_B_207_BC01_Yr2_GTTTCG_R1_001_fastq	EXR-KJENS1RID1-AN	2788990.0	Plasma	6902786.0	2788990.0	False		
sample_Sample_B_207_GC03_Yr2_TGACCA_R1_001_fastq	EXR-KJENS1RID1-AN	27631186.0	Plasma	67565361.0	27631186.0	False		
sample_Sample_B_208_BC01_Yr2_TGACCA_R1_001_fastq	EXR-KJENS1RID1-AN	1382847.0	Plasma	7678306.0	1382847.0	False		
sample_Sample_B_209_BC01_Yr2_CACCGG_R1_001_fastq	EXR-KJENS1RID1-AN	1060275.0	Plasma	3867786.0	1060275.0	False		
sample_Sample_B_210_BC01_Yr2_GTCCGC_R1_001_fastq	EXR-KJENS1RID1-AN	3082613.0	Plasma	11560829.0	3082613.0	False		
sample_Sample_B_211_BC01_Yr2_GCCAAT_R1_001_fastq	EXR-KJENS1RID1-AN	4849045.999999999	Plasma	9973243.0	4849046.0	False		
sample_Sample_B_212_BC01_Yr2_TCGGCA_R1_001_fastq	EXR-KJENS1RID1-AN	7571329.0	Plasma	13046608.0	7571329.0	False		
sample_Sample_B_212_GC11_Yr2_TAGCTT_R1_001_fastq	EXR-KJENS1RID1-AN	5020683.0	Plasma	22318919.0	5020683.0	False		
sample_Sample_B_213_BC01_Yr2_CATGGC_R1_001_fastq	EXR-KJENS1RID1-AN	631400.0000000001	Plasma	4951339.0	631400.0	False		
sample_Sample_B_213_GC04_Yr2_TGACCA_R1_001_fastq	EXR-KJENS1RID1-AN	313471.00000000006	Plasma	2161195.0	313471.0	False		
sample_Sample_B_214_BC01_Yr2_GGCTAC_R1_001_fastq	EXR-KJENS1RID1-AN	1981308.9999999998	Plasma	10469075.0	1981309.0	False		
sample_Sample_B_215_GC12_Yr2_CTATAC_R1_001_fastq	EXR-KJENS1RID1-AN	1143315.9999999998	Plasma	4453887.0	1143316.0	False		
sample_Sample_B_216_BC01_Yr2_CATTTT_R1_001_fastq	EXR-KJENS1RID1-AN	1369200.0	Plasma	3462227.0	1369200.0	False		
sample_Sample_B_216_GC07_Yr2_GGTAGC_R1_001_fastq	EXR-KJENS1RID1-AN	848612.0000000001	Plasma	5547821.0	848612.0	False		
sample_Sample_B_217_BC01_Yr2_CTCAGA_R1_001_fastq	EXR-KJENS1RID1-AN	9878656.0	Plasma	13766464.0	9878656.0	False		
sample_Sample_B_218_BC01_Yr2_ATGAGC_R1_001_fastq	EXR-KJENS1RID1-AN	3231799.999999999	Plasma	10042843.0	3231800.0	False		
sample_Sample_B_218_GC10_Yr2_GACGAC_R1_001_fastq	EXR-KJENS1RID1-AN	3007033.9999999995	Plasma	9447986.0	3007034.0	False		
sample_Sample_B_219_BC01_Yr2_TCCCGA_R1_001_fastq	EXR-KJENS1RID1-AN	1004686.9999999999	Plasma	3967472.0	1004687.0	False		
sample_Sample_B_219_GC02_Yr2_TATAAT_R1_001_fastq	EXR-KJENS1RID1-AN	6569708.0	Plasma	8674345.0	6569708.0	False		
sample_Sample_B_220_BC01_Yr2_CCGTCC_R1_001_fastq	EXR-KJENS1RID1-AN	1088466.0	Plasma	6382898.0	1088466.0	False		
sample_Sample_B_221_BC01_Yr2_CCAACA_R1_001_fastq	EXR-KJENS1RID1-AN	3177102.9999999995	Plasma	7679968.0	3177103.0	False		
sample_Sample_B_221_GC01_Yr2_ATGTCA_R1_001_fastq	EXR-KJENS1RID1-AN	625006.0	Plasma	6748066.0	625006.0	False		
sample_Sample_B_221_GC02_Yr2_GTAGAG_R1_001_fastq	EXR-KJENS1RID1-AN	440215.0	Plasma	3612832.0	440215.0	False		
sample_Sample_B_221_GC04_Yr2_CCGTCC_R1_001_fastq	EXR-KJENS1RID1-AN	2934936.0000000005	Plasma	11393809.0	2934936.0	False		
sample_Sample_B_221_GC05_Yr2_CACCGG_R1_001_fastq	EXR-KJENS1RID1-AN	894762.0	Plasma	1251945.0	894762.0	False		
sample_Sample_B_221_GC06_Yr2_CGGAAT_R1_001_fastq	EXR-KJENS1RID1-AN	3588194.0000000005	Plasma	11114755.0	3588194.0	False		
sample_Sample_B_221_GC07_Yr2_GACGAC_R1_001_fastq	EXR-KJENS1RID1-AN	2117274.0	Plasma	7027423.0	2117274.0	False		
sample_Sample_B_221_GC09_Yr2_TCATTC_R1_001_fastq	EXR-KJENS1RID1-AN	900256.0	Plasma	3135198.0	900256.0	False		
sample_Sample_B_221_GC10_Yr2_CTCAGA_R1_001_fastq	EXR-KJENS1RID1-AN	2382457.0	Plasma	6965848.0	2382457.0	False		
sample_Sample_B_221_GC11_Yr2_ATGTCA_R1_001_fastq	EXR-KJENS1RID1-AN	2362048.0000000005	Plasma	12788144.0	2362048.0	False		
sample_Sample_B_222_BC01_Yr2_CTAGCT_R1_001_fastq	EXR-KJENS1RID1-AN	1421276.0	Plasma	9075048.0	1421276.0	False		
sample_Sample_B_223_BC01_Yr2_ACTTGA_R1_001_fastq	EXR-KJENS1RID1-AN	3024410.0	Plasma	22329133.0	3024410.0	False		
sample_Sample_B_223_BC01_Yr2_TAGCTT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	965715.0000000001	Plasma	6017813.0	965715.0	False		
sample_Sample_B_223_GC08_Yr2_AGTTCC_R1_001_fastq	EXR-KJENS1RID1-AN	5613350.000000001	Plasma	24840289.0	5613350.0	False		
sample_Sample_B_224_BC01_Yr2_GGTAGC_R1_001_fastq	EXR-KJENS1RID1-AN	1200030.0	Plasma	1945721.0	1200030.0	False		
sample_Sample_B_224_GC06_Yr2_GATCAG_R1_001_fastq	EXR-KJENS1RID1-AN	1021897.0	Plasma	10019360.0	1021897.0	False		
sample_Sample_B_226_BC01_Yr2_CACCGG_R1_001_fastq	EXR-KJENS1RID1-AN	1048790.0	Plasma	2669623.0	1048790.0	False		
sample_Sample_B_226_GC01_Yr2_CTAGCT_R1_001_fastq	EXR-KJENS1RID1-AN	1693972.0000000002	Plasma	6835394.0	1693972.0	False		
sample_Sample_B_226_GC08_Yr2_AGTCAA_R1_001_fastq	EXR-KJENS1RID1-AN	723585.0	Plasma	9345767.0	723585.0	False		
sample_Sample_B_226_GC11_Yr2_CTTGTA_R1_001_fastq	EXR-KJENS1RID1-AN	1560522.0	Plasma	11022392.0	1560522.0	False		
sample_Sample_B_226_GC12_Yr2_GTCCGC_R1_001_fastq	EXR-KJENS1RID1-AN	3625131.0	Plasma	15750655.0	3625131.0	False		
sample_Sample_B_227_BC01_Yr2_CTTGTA_R1_001_fastq	EXR-KJENS1RID1-AN	3466105.9999999995	Plasma	9563995.0	3466106.0	False		
sample_Sample_B_227_GC01_Yr2_CAGGCG_R1_001_fastq	EXR-KJENS1RID1-AN	1186445.9999999998	Plasma	3817279.0	1186446.0	False		
sample_Sample_B_227_GC04_Yr2_CATGGC_R1_001_fastq	EXR-KJENS1RID1-AN	3120520.9999999995	Plasma	9132808.0	3120521.0	False		
sample_Sample_B_227_GC06_Yr2_ACTGAT_R1_001_fastq	EXR-KJENS1RID1-AN	1470398.0	Plasma	8405071.0	1470398.0	False		
sample_Sample_B_227_GC08_Yr2_GCCAAT_R1_001_fastq	EXR-KJENS1RID1-AN	571424.9999999999	Plasma	3303295.0	571425.0	False		
sample_Sample_B_227_GC10_Yr2_ACTTGA_R1_001_fastq	EXR-KJENS1RID1-AN	874763.0	Plasma	7975405.0	874763.0	False		
sample_Sample_B_227_GC11_Yr2_GCCAAT_R1_001_fastq	EXR-KJENS1RID1-AN	1232056.0	Plasma	6538017.0	1232056.0	False		
sample_Sample_B_227_GC12_Yr2_GTGAAA_R1_001_fastq	EXR-KJENS1RID1-AN	274811.00000000006	Plasma	1404834.0	274811.0	False		
